Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,6809.200195,6812.500000,6734.000000,6747.100098,6747.100098,648213700
2019-01-29,6747.100098,6860.299805,6747.100098,6833.899902,6833.899902,697035900
2019-01-30,6833.899902,6967.700195,6833.899902,6941.600098,6941.600098,748772100
2019-01-31,6941.600098,6994.899902,6941.100098,6968.899902,6968.899902,866316300
2019-02-01,6968.899902,7024.500000,6968.899902,7020.200195,7020.200195,630712300
2019-02-04,7020.200195,7046.600098,7002.399902,7034.100098,7034.100098,611990600
2019-02-05,7034.100098,7180.700195,7033.600098,7177.399902,7177.399902,662979300
2019-02-06,7177.399902,7184.200195,7146.700195,7173.100098,7173.100098,599487700
2019-02-07,7173.100098,7187.500000,7093.600098,7093.600098,7093.600098,649638500
2019-02-08,7093.600098,7115.799805,7064.899902,7071.200195,7071.200195,532300500
2019-02-11,7071.200195,7149.200195,7071.200195,7129.100098,7129.100098,548318300
2019-02-12,7129.100098,7168.600098,7121.700195,7133.100098,7133.100098,526735100
2019-02-13,7133.100098,7205.100098,7133.100098,7190.799805,7190.799805,561646800
2019-02-14,7190.799805,7232.799805,7183.000000,7197.000000,7197.000000,519107200
2019-02-15,7197.000000,7261.600098,7185.200195,7236.700195,7236.700195,688422300
2019-02-18,7236.700195,7242.100098,7209.700195,7219.500000,7219.500000,440062500
2019-02-19,7219.500000,7219.500000,7162.799805,7179.200195,7179.200195,624124300
2019-02-20,7179.200195,7234.200195,7178.000000,7228.600098,7228.600098,861254900
2019-02-21,7228.600098,7228.799805,7141.899902,7167.399902,7167.399902,798796000
2019-02-22,7167.399902,7220.500000,7162.399902,7178.600098,7178.600098,646718000
2019-02-25,7178.600098,7210.700195,7158.200195,7183.700195,7183.700195,644937500
2019-02-26,7183.700195,7183.799805,7091.600098,7151.100098,7151.100098,865719700
2019-02-27,7151.100098,7151.100098,7082.600098,7107.200195,7107.200195,870721000
2019-02-28,7107.200195,7107.200195,7041.000000,7074.700195,7074.700195,979616900
2019-03-01,7074.700195,7129.700195,7074.700195,7106.700195,7106.700195,700825200
2019-03-04,7106.700195,7166.200195,7106.700195,7134.399902,7134.399902,634698800
2019-03-05,7134.399902,7191.700195,7127.200195,7183.399902,7183.399902,795291200
2019-03-06,7183.399902,7211.799805,7170.299805,7196.000000,7196.000000,791979200
2019-03-07,7196.000000,7196.000000,7126.600098,7157.600098,7157.600098,691317400
2019-03-08,7157.600098,7157.600098,7077.899902,7104.299805,7104.299805,622101900
2019-03-11,7104.299805,7181.600098,7104.299805,7130.600098,7130.600098,674285200
2019-03-12,7130.600098,7166.600098,7083.200195,7151.200195,7151.200195,752033900
2019-03-13,7151.200195,7181.899902,7128.700195,7159.200195,7159.200195,744627600
2019-03-14,7159.200195,7215.500000,7148.100098,7185.399902,7185.399902,791259700
2019-03-15,7185.399902,7243.799805,7185.399902,7228.299805,7228.299805,1335709200
2019-03-18,7228.299805,7299.200195,7228.200195,7299.200195,7299.200195,642988100
2019-03-19,7299.200195,7350.100098,7294.500000,7324.000000,7324.000000,598904100
2019-03-20,7324.000000,7341.600098,7291.000000,7291.000000,7291.000000,748851100
2019-03-21,7291.000000,7370.600098,7290.600098,7355.299805,7355.299805,709429100
2019-03-22,7355.299805,7356.399902,7192.799805,7207.600098,7207.600098,694767600
2019-03-25,7207.600098,7208.100098,7146.799805,7177.600098,7177.600098,586169600
2019-03-26,7177.600098,7221.000000,7169.399902,7196.299805,7196.299805,629605500
2019-03-27,7196.299805,7222.600098,7160.100098,7194.200195,7194.200195,678742500
2019-03-28,7194.200195,7265.500000,7190.899902,7234.299805,7234.299805,568044400
2019-03-29,7234.299805,7287.700195,7223.299805,7279.200195,7279.200195,794400900
